,NOC,Year,Bronze,Gold,Silver,Total
591,IRL,2012,1.0,1.0,1.0,3.0
592,IRL,2016,0.0,0.0,2.0,2.0
593,IRQ,1960,1.0,0.0,0.0,1.0
594,ISL,1956,0.0,0.0,1.0,1.0
595,ISL,1984,1.0,0.0,0.0,1.0
596,ISL,2000,1.0,0.0,0.0,1.0
597,ISL,2008,0.0,0.0,1.0,1.0
598,ISR,1992,0.0,0.0,1.0,1.0
599,ISR,1996,1.0,0.0,0.0,1.0
600,ISR,2000,1.0,0.0,0.0,1.0
601,ISR,2004,0.0,1.0,0.0,1.0
602,ISR,2008,1.0,0.0,0.0,1.0
603,ISR,2016,1.0,0.0,0.0,1.0
604,ISV,1988,0.0,0.0,1.0,1.0
605,ITA,1900,0.0,2.0,2.0,4.0
606,ITA,1906,3.0,7.0,6.0,16.0
607,ITA,1908,0.0,2.0,2.0,4.0
608,ITA,1912,2.0,5.0,1.0,8.0
609,ITA,1920,5.0,14.0,6.0,25.0
610,ITA,1924,5.0,8.0,3.0,16.0
611,ITA,1928,7.0,7.0,6.0,20.0
612,ITA,1932,12.0,12.0,12.0,36.0
613,ITA,1936,5.0,9.0,13.0,27.0
614,ITA,1948,10.0,9.0,12.0,31.0
615,ITA,1952,3.0,8.0,9.0,20.0
616,ITA,1956,8.0,8.0,8.0,24.0
617,ITA,1960,12.0,13.0,10.0,35.0
618,ITA,1964,7.0,10.0,10.0,27.0
619,ITA,1968,9.0,3.0,4.0,16.0
620,ITA,1972,10.0,5.0,3.0,18.0
621,ITA,1976,4.0,2.0,7.0,13.0
622,ITA,1980,4.0,8.0,3.0,15.0
623,ITA,1984,12.0,14.0,6.0,32.0
624,ITA,1988,4.0,6.0,4.0,14.0
625,ITA,1992,8.0,6.0,5.0,19.0
626,ITA,1996,11.0,13.0,10.0,34.0
627,ITA,2000,11.0,13.0,8.0,32.0
628,ITA,2004,10.0,10.0,11.0,31.0
629,ITA,2008,9.0,8.0,9.0,26.0
630,ITA,2012,10.0,8.0,9.0,27.0
631,ITA,2016,8.0,8.0,12.0,28.0
632,JAM,1948,0.0,1.0,2.0,3.0
633,JAM,1952,0.0,2.0,3.0,5.0
634,JAM,1968,0.0,0.0,1.0,1.0
635,JAM,1972,1.0,0.0,0.0,1.0
636,JAM,1976,0.0,1.0,1.0,2.0
637,JAM,1980,3.0,0.0,0.0,3.0
638,JAM,1984,2.0,0.0,1.0,3.0
639,JAM,1988,0.0,0.0,2.0,2.0
640,JAM,1992,1.0,0.0,3.0,4.0
641,JAM,1996,2.0,1.0,3.0,6.0
642,JAM,2000,3.0,0.0,6.0,9.0
643,JAM,2004,2.0,2.0,1.0,5.0
644,JAM,2008,2.0,5.0,2.0,9.0
645,JAM,2012,4.0,4.0,4.0,12.0
646,JAM,2016,2.0,6.0,3.0,11.0
647,JOR,2016,0.0,1.0,0.0,1.0
648,JPN,1920,0.0,0.0,2.0,2.0
649,JPN,1924,1.0,0.0,0.0,1.0
650,JPN,1928,1.0,2.0,2.0,5.0
651,JPN,1932,4.0,7.0,7.0,18.0
652,JPN,1936,10.0,6.0,4.0,20.0
653,JPN,1952,1.0,1.0,5.0,7.0
654,JPN,1956,3.0,4.0,10.0,17.0
655,JPN,1960,5.0,4.0,7.0,16.0
656,JPN,1964,8.0,16.0,4.0,28.0
657,JPN,1968,6.0,11.0,7.0,24.0
658,JPN,1972,8.0,13.0,8.0,29.0
659,JPN,1976,9.0,9.0,6.0,24.0
660,JPN,1984,13.0,10.0,6.0,29.0
661,JPN,1988,6.0,4.0,3.0,13.0
662,JPN,1992,7.0,3.0,8.0,18.0
663,JPN,1996,5.0,3.0,6.0,14.0
664,JPN,2000,4.0,5.0,8.0,17.0
665,JPN,2004,11.0,16.0,9.0,36.0
666,JPN,2008,6.0,9.0,7.0,22.0
667,JPN,2012,12.0,7.0,14.0,33.0
668,JPN,2016,19.0,12.0,8.0,39.0
669,KAZ,1996,3.0,3.0,4.0,10.0
670,KAZ,2000,0.0,3.0,4.0,7.0
671,KAZ,2004,2.0,1.0,4.0,7.0
672,KAZ,2008,4.0,2.0,4.0,10.0
673,KAZ,2012,3.0,7.0,1.0,11.0
674,KAZ,2016,8.0,3.0,5.0,16.0
675,KEN,1964,1.0,0.0,0.0,1.0
676,KEN,1968,1.0,3.0,4.0,8.0
677,KEN,1972,4.0,2.0,3.0,9.0
678,KEN,1984,2.0,1.0,0.0,3.0
679,KEN,1988,1.0,5.0,2.0,8.0
680,KEN,1992,2.0,2.0,4.0,8.0
681,KEN,1996,3.0,1.0,4.0,8.0
682,KEN,2000,2.0,2.0,3.0,7.0
683,KEN,2004,2.0,1.0,4.0,7.0
684,KEN,2008,5.0,6.0,4.0,15.0
685,KEN,2012,5.0,2.0,4.0,11.0
686,KEN,2016,1.0,6.0,6.0,13.0
687,KGZ,2008,0.0,0.0,1.0,1.0
688,KOR,1948,2.0,0.0,0.0,2.0
689,KOR,1952,2.0,0.0,0.0,2.0
690,KOR,1956,1.0,0.0,1.0,2.0
691,KOR,1964,0.0,0.0,2.0,2.0
692,KOR,1968,1.0,0.0,1.0,2.0
693,KOR,1972,0.0,0.0,1.0,1.0
694,KOR,1976,2.0,1.0,1.0,4.0
695,KOR,1984,6.0,6.0,6.0,18.0
696,KOR,1988,10.0,12.0,10.0,32.0
697,KOR,1992,9.0,12.0,5.0,26.0
698,KOR,1996,4.0,7.0,15.0,26.0
699,KOR,2000,10.0,8.0,10.0,28.0
700,KOR,2004,9.0,9.0,12.0,30.0
701,KOR,2008,6.0,13.0,10.0,29.0
702,KOR,2012,6.0,13.0,8.0,27.0
703,KOR,2016,6.0,9.0,3.0,18.0
704,KOS,2016,0.0,1.0,0.0,1.0
705,KSA,2000,1.0,0.0,1.0,2.0
706,KSA,2012,1.0,0.0,0.0,1.0
707,KUW,2000,1.0,0.0,0.0,1.0
708,KUW,2012,1.0,0.0,0.0,1.0
709,LAT,1932,0.0,0.0,1.0,1.0
710,LAT,1936,1.0,0.0,1.0,2.0
711,LAT,1992,1.0,0.0,2.0,3.0
712,LAT,1996,0.0,0.0,1.0,1.0
713,LAT,2000,0.0,1.0,1.0,2.0
714,LAT,2004,0.0,0.0,4.0,4.0
715,LAT,2008,1.0,1.0,1.0,3.0
716,LAT,2012,1.0,1.0,0.0,2.0
717,LIB,1952,1.0,0.0,1.0,2.0
718,LIB,1972,0.0,0.0,1.0,1.0
719,LIB,1980,1.0,0.0,0.0,1.0
720,LTU,1992,1.0,1.0,0.0,2.0
721,LTU,1996,1.0,0.0,0.0,1.0
722,LTU,2000,3.0,2.0,0.0,5.0
723,LTU,2004,0.0,1.0,2.0,3.0
724,LTU,2008,3.0,0.0,2.0,5.0
725,LTU,2012,1.0,2.0,1.0,4.0
726,LTU,2016,3.0,0.0,1.0,4.0
727,LUX,1900,0.0,1.0,0.0,1.0
728,LUX,1920,0.0,0.0,1.0,1.0
729,LUX,1924,0.0,1.0,1.0,2.0
730,LUX,1928,0.0,1.0,0.0,1.0
731,LUX,1952,0.0,1.0,0.0,1.0
732,MAR,1960,0.0,0.0,1.0,1.0
733,MAR,1984,0.0,2.0,0.0,2.0
734,MAR,1988,2.0,1.0,0.0,3.0
735,MAR,1992,1.0,1.0,1.0,3.0
736,MAR,1996,2.0,0.0,0.0,2.0
737,MAR,2000,3.0,0.0,1.0,4.0
738,MAR,2004,0.0,2.0,1.0,3.0
739,MAR,2008,1.0,0.0,1.0,2.0
740,MAR,2012,1.0,0.0,0.0,1.0
741,MAS,1996,1.0,0.0,1.0,2.0
742,MAS,2008,0.0,0.0,1.0,1.0
743,MAS,2012,1.0,0.0,1.0,2.0
744,MAS,2016,1.0,0.0,4.0,5.0
745,MDA,1996,1.0,0.0,1.0,2.0
746,MDA,2000,1.0,0.0,1.0,2.0
747,MDA,2008,1.0,0.0,0.0,1.0
748,MDA,2012,2.0,0.0,0.0,2.0
749,MEX,1932,0.0,0.0,2.0,2.0
750,MEX,1936,3.0,0.0,0.0,3.0
751,MEX,1948,2.0,2.0,1.0,5.0
752,MEX,1952,0.0,0.0,1.0,1.0
753,MEX,1956,1.0,1.0,0.0,2.0
754,MEX,1960,1.0,0.0,0.0,1.0
755,MEX,1964,1.0,0.0,0.0,1.0
756,MEX,1968,1.0,3.0,3.0,7.0
757,MEX,1972,0.0,0.0,1.0,1.0
758,MEX,1976,0.0,1.0,0.0,1.0
759,MEX,1980,3.0,0.0,1.0,4.0
760,MEX,1984,1.0,2.0,3.0,6.0
761,MEX,1988,2.0,0.0,0.0,2.0
762,MEX,1992,0.0,0.0,1.0,1.0
763,MEX,1996,1.0,0.0,0.0,1.0
764,MEX,2000,3.0,1.0,2.0,6.0
765,MEX,2004,1.0,0.0,3.0,4.0
766,MEX,2008,1.0,2.0,0.0,3.0
767,MEX,2012,2.0,1.0,3.0,6.0
768,MEX,2016,2.0,0.0,3.0,5.0
769,MGL,1968,3.0,0.0,1.0,4.0
770,MGL,1972,0.0,0.0,1.0,1.0
771,MGL,1976,0.0,0.0,1.0,1.0
772,MGL,1980,1.0,0.0,2.0,3.0
773,MGL,1992,1.0,0.0,0.0,1.0
774,MGL,1996,1.0,0.0,0.0,1.0
775,MGL,2008,0.0,2.0,2.0,4.0
776,MGL,2012,1.0,0.0,2.0,3.0
777,MGL,2016,0.0,0.0,1.0,1.0
778,MKD,2000,1.0,0.0,0.0,1.0
779,MNE,2012,0.0,0.0,1.0,1.0
780,MON,1924,1.0,0.0,0.0,1.0
781,MOZ,1996,1.0,0.0,0.0,1.0
782,MOZ,2000,0.0,1.0,0.0,1.0
783,NAM,1992,0.0,0.0,2.0,2.0
784,NAM,1996,0.0,0.0,2.0,2.0
785,NED,1900,3.0,1.0,1.0,5.0
786,NED,1906,2.0,0.0,1.0,3.0
787,NED,1908,1.0,0.0,0.0,1.0
788,NED,1912,3.0,0.0,0.0,3.0
789,NED,1920,5.0,4.0,2.0,11.0
790,NED,1924,6.0,4.0,1.0,11.0
791,NED,1928,5.0,8.0,10.0,23.0
792,NED,1932,1.0,2.0,5.0,8.0
793,NED,1936,7.0,6.0,4.0,17.0
794,NED,1948,9.0,5.0,2.0,16.0
795,NED,1952,0.0,0.0,5.0,5.0
796,NED,1960,2.0,0.0,1.0,3.0
797,NED,1964,4.0,2.0,4.0,10.0
798,NED,1968,1.0,3.0,3.0,7.0
799,NED,1972,1.0,3.0,1.0,5.0
800,NED,1976,3.0,0.0,2.0,5.0
801,NED,1980,1.0,0.0,1.0,2.0
802,NED,1984,5.0,5.0,2.0,12.0
803,NED,1988,3.0,2.0,2.0,7.0
804,NED,1992,6.0,2.0,6.0,14.0
805,NED,1996,9.0,4.0,5.0,18.0
806,NED,2000,4.0,12.0,9.0,25.0
807,NED,2004,8.0,4.0,9.0,21.0
808,NED,2008,4.0,7.0,5.0,16.0
809,NED,2012,7.0,6.0,6.0,19.0
810,NED,2016,3.0,8.0,7.0,18.0
811,NGR,1984,1.0,0.0,1.0,2.0
812,NGR,1992,1.0,0.0,3.0,4.0
813,NGR,1996,3.0,2.0,1.0,6.0
814,NGR,2000,0.0,1.0,2.0,3.0
815,NGR,2004,2.0,0.0,0.0,2.0
816,NGR,2008,2.0,0.0,1.0,3.0
817,NGR,2016,1.0,0.0,0.0,1.0
818,NIG,1972,1.0,0.0,0.0,1.0
819,NIG,2016,0.0,0.0,1.0,1.0
820,NOR,1900,3.0,0.0,2.0,5.0
821,NOR,1904,0.0,2.0,0.0,2.0
822,NOR,1906,0.0,1.0,1.0,2.0
823,NOR,1908,3.0,2.0,3.0,8.0
824,NOR,1912,4.0,4.0,1.0,9.0
825,NOR,1920,9.0,10.0,10.0,29.0
826,NOR,1924,3.0,5.0,2.0,10.0
827,NOR,1928,1.0,1.0,2.0,4.0
828,NOR,1936,2.0,1.0,3.0,6.0
829,NOR,1948,3.0,1.0,3.0,7.0
830,NOR,1952,0.0,3.0,2.0,5.0
831,NOR,1956,2.0,1.0,0.0,3.0
832,NOR,1960,0.0,1.0,0.0,1.0
833,NOR,1968,0.0,1.0,1.0,2.0
834,NOR,1972,1.0,2.0,1.0,4.0
835,NOR,1976,0.0,1.0,1.0,2.0
836,NOR,1984,2.0,0.0,1.0,3.0
837,NOR,1988,0.0,2.0,3.0,5.0
838,NOR,1992,1.0,2.0,4.0,7.0
839,NOR,1996,3.0,2.0,2.0,7.0
840,NOR,2000,3.0,4.0,3.0,10.0
841,NOR,2004,1.0,5.0,0.0,6.0
842,NOR,2008,1.0,3.0,5.0,9.0
843,NOR,2012,1.0,2.0,1.0,4.0
844,NOR,2016,4.0,0.0,0.0,4.0
845,NZL,1920,1.0,0.0,0.0,1.0
846,NZL,1924,1.0,0.0,0.0,1.0
847,NZL,1928,0.0,1.0,0.0,1.0
848,NZL,1932,0.0,0.0,1.0,1.0
849,NZL,1936,0.0,1.0,0.0,1.0
850,NZL,1952,2.0,1.0,0.0,3.0
851,NZL,1956,0.0,2.0,0.0,2.0
852,NZL,1960,1.0,2.0,0.0,3.0
853,NZL,1964,2.0,3.0,0.0,5.0
854,NZL,1968,2.0,1.0,0.0,3.0
855,NZL,1972,1.0,1.0,1.0,3.0
856,NZL,1976,1.0,2.0,1.0,4.0
857,NZL,1984,2.0,8.0,1.0,11.0
858,NZL,1988,8.0,3.0,2.0,13.0
859,NZL,1992,5.0,1.0,4.0,10.0
860,NZL,1996,1.0,3.0,2.0,6.0
861,NZL,2000,3.0,1.0,0.0,4.0
862,NZL,2004,0.0,3.0,2.0,5.0
863,NZL,2008,4.0,3.0,2.0,9.0
864,NZL,2012,4.0,6.0,2.0,12.0
865,NZL,2016,5.0,4.0,9.0,18.0
866,PAK,1956,0.0,0.0,1.0,1.0
867,PAK,1960,1.0,1.0,0.0,2.0
868,PAK,1964,0.0,0.0,1.0,1.0
869,PAK,1968,0.0,1.0,0.0,1.0
870,PAK,1972,0.0,0.0,1.0,1.0
871,PAK,1976,1.0,0.0,0.0,1.0
872,PAK,1984,0.0,1.0,0.0,1.0
873,PAK,1988,1.0,0.0,0.0,1.0
874,PAK,1992,1.0,0.0,0.0,1.0
875,PAN,1948,2.0,0.0,0.0,2.0
876,PAN,2008,0.0,1.0,0.0,1.0
877,PAR,2004,0.0,0.0,1.0,1.0
878,PER,1948,0.0,1.0,0.0,1.0
879,PER,1984,0.0,0.0,1.0,1.0
880,PER,1988,0.0,0.0,1.0,1.0
881,PER,1992,0.0,0.0,1.0,1.0
882,PHI,1928,1.0,0.0,0.0,1.0
883,PHI,1932,3.0,0.0,0.0,3.0
884,PHI,1936,1.0,0.0,0.0,1.0
885,PHI,1964,0.0,0.0,1.0,1.0
886,PHI,1996,0.0,0.0,1.0,1.0
887,PHI,2016,0.0,0.0,1.0,1.0
888,POL,1924,1.0,0.0,1.0,2.0
889,POL,1928,4.0,2.0,1.0,7.0
890,POL,1932,4.0,3.0,2.0,9.0
891,POL,1936,5.0,0.0,4.0,9.0
892,POL,1948,1.0,1.0,0.0,2.0
893,POL,1952,1.0,1.0,2.0,4.0
894,POL,1956,1.0,1.0,4.0,6.0
895,POL,1960,10.0,4.0,6.0,20.0
896,POL,1964,8.0,7.0,6.0,21.0
897,POL,1968,10.0,5.0,2.0,17.0
898,POL,1972,9.0,7.0,5.0,21.0
899,POL,1976,11.0,7.0,6.0,24.0
900,POL,1980,13.0,3.0,14.0,30.0
901,POL,1988,8.0,2.0,5.0,15.0
902,POL,1992,9.0,3.0,6.0,18.0
903,POL,1996,5.0,7.0,5.0,17.0
904,POL,2000,3.0,6.0,5.0,14.0
905,POL,2004,5.0,3.0,2.0,10.0
906,POL,2008,0.0,3.0,6.0,9.0
907,POL,2012,5.0,2.0,2.0,9.0
908,POL,2016,5.0,2.0,3.0,10.0
909,POR,1924,1.0,0.0,0.0,1.0
910,POR,1928,1.0,0.0,0.0,1.0
911,POR,1936,1.0,0.0,0.0,1.0
912,POR,1948,1.0,0.0,1.0,2.0
913,POR,1952,1.0,0.0,0.0,1.0
914,POR,1960,0.0,0.0,1.0,1.0
915,POR,1976,0.0,0.0,2.0,2.0
916,POR,1984,2.0,1.0,0.0,3.0
917,POR,1988,0.0,1.0,0.0,1.0
918,POR,1996,1.0,1.0,0.0,2.0
919,POR,2000,1.0,0.0,0.0,1.0
920,POR,2004,1.0,0.0,2.0,3.0
921,POR,2008,0.0,1.0,1.0,2.0
922,POR,2012,0.0,0.0,1.0,1.0
923,PRK,1972,3.0,1.0,1.0,5.0
924,PRK,1976,0.0,1.0,1.0,2.0
925,PRK,1980,2.0,0.0,3.0,5.0
926,PRK,1992,2.0,4.0,0.0,6.0
927,PRK,1996,2.0,2.0,1.0,5.0
928,PRK,2000,3.0,0.0,1.0,4.0
929,PRK,2004,1.0,0.0,4.0,5.0
930,PRK,2008,1.0,2.0,1.0,4.0
931,PRK,2012,2.0,4.0,0.0,6.0
932,PRK,2016,2.0,2.0,3.0,7.0
933,PUR,1948,1.0,0.0,0.0,1.0
934,PUR,1976,1.0,0.0,0.0,1.0
935,PUR,1984,1.0,0.0,1.0,2.0
936,PUR,1992,1.0,0.0,0.0,1.0
937,PUR,1996,1.0,0.0,0.0,1.0
938,PUR,2012,1.0,0.0,1.0,2.0
939,PUR,2016,0.0,1.0,0.0,1.0
940,QAT,1992,1.0,0.0,0.0,1.0
941,QAT,2000,1.0,0.0,0.0,1.0
942,QAT,2012,2.0,0.0,0.0,2.0
943,QAT,2016,0.0,0.0,1.0,1.0
944,ROU,1924,1.0,0.0,0.0,1.0
945,ROU,1936,0.0,0.0,1.0,1.0
946,ROU,1952,2.0,1.0,1.0,4.0
947,ROU,1956,5.0,5.0,3.0,13.0
948,ROU,1960,5.0,3.0,1.0,9.0
949,ROU,1964,6.0,2.0,4.0,12.0
950,ROU,1968,5.0,4.0,6.0,15.0
951,ROU,1972,7.0,3.0,6.0,16.0
952,ROU,1976,12.0,4.0,9.0,25.0
953,ROU,1980,10.0,6.0,6.0,22.0
954,ROU,1984,17.0,19.0,16.0,52.0
955,ROU,1988,4.0,7.0,11.0,22.0
956,ROU,1992,8.0,4.0,6.0,18.0
957,ROU,1996,6.0,4.0,7.0,17.0
958,ROU,2000,6.0,11.0,6.0,23.0
959,ROU,2004,5.0,8.0,5.0,18.0
960,ROU,2008,3.0,4.0,1.0,8.0
961,ROU,2012,2.0,2.0,5.0,9.0
962,ROU,2016,1.0,1.0,1.0,3.0
963,RSA,1908,0.0,1.0,1.0,2.0
964,RSA,1912,0.0,4.0,2.0,6.0
965,RSA,1920,3.0,3.0,4.0,10.0
966,RSA,1924,1.0,1.0,1.0,3.0
967,RSA,1928,2.0,1.0,0.0,3.0
968,RSA,1932,3.0,2.0,0.0,5.0
969,RSA,1936,0.0,0.0,1.0,1.0
970,RSA,1948,2.0,2.0,2.0,6.0
971,RSA,1952,2.0,2.0,4.0,8.0
972,RSA,1956,3.0,0.0,0.0,3.0
973,RSA,1960,1.0,0.0,1.0,2.0
974,RSA,1992,0.0,0.0,2.0,2.0
975,RSA,1996,1.0,3.0,1.0,5.0
976,RSA,2000,3.0,0.0,2.0,5.0
977,RSA,2004,2.0,1.0,3.0,6.0
978,RSA,2008,0.0,0.0,1.0,1.0
979,RSA,2012,1.0,3.0,1.0,5.0
980,RSA,2016,2.0,2.0,5.0,9.0
981,RUS,1908,0.0,1.0,2.0,3.0
982,RUS,1912,2.0,0.0,2.0,4.0
983,RUS,1996,12.0,26.0,21.0,59.0
984,RUS,2000,27.0,32.0,28.0,87.0
985,RUS,2004,33.0,28.0,26.0,87.0
986,RUS,2008,26.0,23.0,21.0,70.0
987,RUS,2012,27.0,24.0,26.0,77.0
988,RUS,2016,19.0,19.0,17.0,55.0
989,SCG,1996,2.0,1.0,1.0,4.0
990,SCG,2000,1.0,1.0,1.0,3.0
991,SCG,2004,0.0,0.0,2.0,2.0
992,SEN,1988,0.0,0.0,1.0,1.0
993,SGP,1960,0.0,0.0,1.0,1.0
994,SGP,2008,0.0,0.0,1.0,1.0
995,SGP,2012,2.0,0.0,0.0,2.0
996,SGP,2016,0.0,1.0,0.0,1.0
997,SLO,1992,2.0,0.0,0.0,2.0
998,SLO,1996,0.0,0.0,2.0,2.0
999,SLO,2000,0.0,2.0,0.0,2.0
1000,SLO,2004,2.0,0.0,1.0,3.0
1001,SLO,2008,1.0,1.0,2.0,4.0
1002,SLO,2012,2.0,1.0,1.0,4.0
1003,SLO,2016,0.0,1.0,2.0,3.0
1004,SRB,2008,2.0,0.0,1.0,3.0
1005,SRB,2012,2.0,1.0,1.0,4.0
1006,SRB,2016,2.0,2.0,4.0,8.0
1007,SRI,1948,0.0,0.0,1.0,1.0
1008,SRI,2000,0.0,0.0,1.0,1.0
1009,SUD,2008,0.0,0.0,1.0,1.0
1010,SUI,1896,0.0,1.0,2.0,3.0
1011,SUI,1900,1.0,6.0,1.0,8.0
1012,SUI,1904,2.0,1.0,0.0,3.0
1013,SUI,1906,1.0,4.0,3.0,8.0
1014,SUI,1912,0.0,1.0,0.0,1.0
1015,SUI,1920,7.0,2.0,2.0,11.0
1016,SUI,1924,10.0,7.0,8.0,25.0
1017,SUI,1928,4.0,7.0,6.0,17.0
1018,SUI,1932,0.0,0.0,1.0,1.0
1019,SUI,1936,4.0,4.0,9.0,17.0
1020,SUI,1948,5.0,5.0,12.0,22.0
1021,SUI,1952,6.0,2.0,5.0,13.0
1022,SUI,1956,1.0,0.0,0.0,1.0
1023,SUI,1960,3.0,0.0,3.0,6.0
1024,SUI,1964,1.0,1.0,2.0,4.0
1025,SUI,1968,4.0,0.0,1.0,5.0
1026,SUI,1972,0.0,0.0,3.0,3.0
1027,SUI,1976,2.0,1.0,1.0,4.0
1028,SUI,1980,0.0,2.0,0.0,2.0
1029,SUI,1984,4.0,0.0,4.0,8.0
1030,SUI,1988,2.0,0.0,2.0,4.0
1031,SUI,1992,0.0,1.0,0.0,1.0
1032,SUI,1996,0.0,4.0,3.0,7.0
1033,SUI,2000,2.0,1.0,6.0,9.0
1034,SUI,2004,3.0,1.0,1.0,5.0
1035,SUI,2008,4.0,2.0,1.0,7.0
1036,SUI,2012,0.0,2.0,2.0,4.0
1037,SUI,2016,2.0,3.0,2.0,7.0
1038,SUR,1988,0.0,1.0,0.0,1.0
1039,SUR,1992,1.0,0.0,0.0,1.0
1040,SVK,1996,1.0,1.0,1.0,3.0
1041,SVK,2000,1.0,1.0,3.0,5.0
1042,SVK,2004,2.0,2.0,2.0,6.0
1043,SVK,2008,1.0,3.0,2.0,6.0
1044,SVK,2012,3.0,0.0,1.0,4.0
1045,SVK,2016,0.0,2.0,2.0,4.0
1046,SWE,1900,1.0,0.0,0.0,1.0
1047,SWE,1906,7.0,2.0,5.0,14.0
1048,SWE,1908,10.0,8.0,6.0,24.0
1049,SWE,1912,16.0,23.0,24.0,63.0
1050,SWE,1920,24.0,19.0,20.0,63.0
1051,SWE,1924,12.0,4.0,13.0,29.0
1052,SWE,1928,12.0,7.0,6.0,25.0
1053,SWE,1932,9.0,10.0,5.0,24.0
1054,SWE,1936,10.0,6.0,5.0,21.0
1055,SWE,1948,18.0,17.0,11.0,46.0
1056,SWE,1952,9.0,12.0,13.0,34.0
1057,SWE,1956,6.0,8.0,4.0,18.0
1058,SWE,1960,3.0,1.0,2.0,6.0
1059,SWE,1964,4.0,2.0,2.0,8.0
1060,SWE,1968,1.0,2.0,1.0,4.0
1061,SWE,1972,5.0,4.0,4.0,13.0
1062,SWE,1976,0.0,4.0,1.0,5.0
1063,SWE,1980,6.0,3.0,3.0,12.0
1064,SWE,1984,6.0,2.0,11.0,19.0
1065,SWE,1988,5.0,0.0,4.0,9.0
1066,SWE,1992,4.0,1.0,7.0,12.0
1067,SWE,1996,2.0,2.0,4.0,8.0
1068,SWE,2000,3.0,4.0,5.0,12.0
1069,SWE,2004,1.0,4.0,2.0,7.0
1070,SWE,2008,1.0,0.0,4.0,5.0
1071,SWE,2012,2.0,1.0,4.0,7.0
1072,SWE,2016,3.0,2.0,6.0,11.0
1073,SYR,1984,0.0,0.0,1.0,1.0
1074,SYR,1996,0.0,1.0,0.0,1.0
1075,SYR,2004,1.0,0.0,0.0,1.0
1076,TAN,1980,0.0,0.0,2.0,2.0
1077,TCH,1920,2.0,0.0,0.0,2.0
1078,TCH,1924,4.0,1.0,4.0,9.0
1079,TCH,1928,2.0,2.0,5.0,9.0
1080,TCH,1932,2.0,1.0,3.0,6.0
1081,TCH,1936,1.0,3.0,5.0,9.0
1082,TCH,1948,2.0,6.0,2.0,10.0
1083,TCH,1952,3.0,7.0,3.0,13.0
1084,TCH,1956,1.0,1.0,4.0,6.0
1085,TCH,1960,3.0,3.0,2.0,8.0
1086,TCH,1964,3.0,5.0,6.0,14.0
1087,TCH,1968,4.0,7.0,2.0,13.0
1088,TCH,1972,2.0,2.0,4.0,8.0
1089,TCH,1976,4.0,2.0,2.0,8.0
1090,TCH,1980,9.0,2.0,3.0,14.0
1091,TCH,1988,1.0,3.0,3.0,7.0
1092,TCH,1992,1.0,4.0,2.0,7.0
1093,TGA,1996,0.0,0.0,1.0,1.0
1094,THA,1984,0.0,0.0,1.0,1.0
1095,THA,1996,1.0,1.0,0.0,2.0
1096,THA,2000,1.0,1.0,0.0,2.0
1097,THA,2004,3.0,3.0,1.0,7.0
1098,THA,2008,0.0,2.0,2.0,4.0
1099,THA,2012,1.0,0.0,2.0,3.0
1100,THA,2016,1.0,2.0,2.0,5.0
1101,TJK,2008,1.0,0.0,1.0,2.0
1102,TJK,2016,0.0,1.0,0.0,1.0
1103,TOG,2008,1.0,0.0,0.0,1.0
1104,TPE,1960,0.0,0.0,1.0,1.0
1105,TPE,1968,1.0,0.0,0.0,1.0
1106,TPE,1984,1.0,0.0,0.0,1.0
1107,TPE,1992,0.0,0.0,1.0,1.0
1108,TPE,1996,0.0,0.0,1.0,1.0
1109,TPE,2000,4.0,0.0,1.0,5.0
1110,TPE,2004,1.0,2.0,2.0,5.0
1111,TPE,2008,4.0,0.0,0.0,4.0
1112,TPE,2012,0.0,0.0,1.0,1.0
1113,TPE,2016,2.0,1.0,0.0,3.0
1114,TTO,1948,0.0,0.0,1.0,1.0
1115,TTO,1952,2.0,0.0,0.0,2.0
1116,TTO,1964,2.0,0.0,1.0,3.0
1117,TTO,1976,0.0,1.0,0.0,1.0
1118,TTO,1996,2.0,0.0,0.0,2.0
1119,TTO,2000,1.0,0.0,1.0,2.0
1120,TTO,2004,1.0,0.0,0.0,1.0
1121,TTO,2008,0.0,1.0,1.0,2.0
1122,TTO,2012,2.0,1.0,1.0,4.0
1123,TTO,2016,1.0,0.0,0.0,1.0
1124,TUN,1964,0.0,0.0,1.0,1.0
1125,TUN,1968,1.0,1.0,0.0,2.0
1126,TUN,1972,0.0,0.0,1.0,1.0
1127,TUN,1996,1.0,0.0,0.0,1.0
1128,TUN,2008,0.0,1.0,0.0,1.0
1129,TUN,2012,1.0,1.0,1.0,3.0
1130,TUN,2016,2.0,0.0,0.0,2.0
1131,TUR,1936,1.0,1.0,0.0,2.0
1132,TUR,1948,2.0,6.0,4.0,12.0
1133,TUR,1952,1.0,2.0,0.0,3.0
1134,TUR,1956,2.0,3.0,2.0,7.0
1135,TUR,1960,0.0,7.0,2.0,9.0
1136,TUR,1964,1.0,2.0,3.0,6.0
1137,TUR,1968,0.0,2.0,0.0,2.0
1138,TUR,1972,0.0,0.0,1.0,1.0
1139,TUR,1984,2.0,0.0,0.0,2.0
1140,TUR,1988,0.0,1.0,1.0,2.0
1141,TUR,1992,1.0,2.0,2.0,5.0
1142,TUR,1996,1.0,4.0,1.0,6.0
1143,TUR,2000,2.0,3.0,0.0,5.0
1144,TUR,2004,5.0,3.0,3.0,11.0
1145,TUR,2008,1.0,1.0,3.0,5.0
